name,twitter,domain,type,FirstName,LastName
sergio ramos,SergioRamos,sergioramos.com,celebrity,sergio,ramos
rodrigo scarpa,rodrigovesgo,youtube.com,celebrity,rodrigo,scarpa
lana del rey,LanaDelRey,lanadelrey.com,celebrity,lana,del
sonakshi sinha,sonakshisinha,,celebrity,sonakshi,sinha
javier mascherano,Mascherano,,celebrity,javier,mascherano
chetan bhagat,chetan_bhagat,chetanbhagat.com,celebrity,chetan,bhagat
calum hood,Calum5SOS,5sos.com,celebrity,calum,hood
chicharito hernandez,CH14_,,celebrity,chicharito,hernandez
j.k. rowling,jk_rowling,jkrowling.com,celebrity,j.k.,rowling
flo rida,official_flo,,celebrity,flo,rida
chelsea handler,chelseahandler,chelseahandler.com,celebrity,chelsea,handler
atademirer,atademirer,,celebrity,atademirer,
scott disick,ScottDisick,,celebrity,scott,disick
cheryl,CherylOfficial,,celebrity,cheryl,
jaden smith,officialjaden,MSFTSrep.com,celebrity,jaden,smith
luis suarez,LuisSuarez9,luissuarez16.com,celebrity,luis,suarez
parineeti chopra,ParineetiChopra,,celebrity,parineeti,chopra
robert downey jr,RobertDowneyJr,,celebrity,robert,downey
gonzalo higuaí_n,G_Higuain,,celebrity,gonzalo,higuaí_n
jimmy carr,jimmycarr,jimmycarr.com,celebrity,jimmy,carr
tom cruise,TomCruise,TomCruise.com,celebrity,tom,cruise
kendrick lamar,kendricklamar,txdxe.com,celebrity,kendrick,lamar
serena williams,serenawilliams,serenawilliams.com,celebrity,serena,williams
residente,Residente,,celebrity,residente,
adam levine,adamlevine,maroon5.com,celebrity,adam,levine
carlos loret de mola,CarlosLoret,carlosloret.com,celebrity,carlos,loret
jeremy clarkson,JeremyClarkson,,celebrity,jeremy,clarkson
ana hickmann,ahickmann,anahickmann.com.br,celebrity,ana,hickmann
ø£. ø¿. ø‡ø_ø±™‰ ø_™‹ø_øÂ™_øÂ,Talhabeeb,,celebrity,ø£.,ø¿.
vanessa hudgens,VanessaHudgens,vanessahudgens.tumblr.com,celebrity,vanessa,hudgens
ø¿. ø‡ø_ø±™‰ ø_™‹ø_™š™_ø¿ø_™Ê,TareqAlSuwaidan,suwaidan.com,celebrity,ø¿.,ø‡ø_ø±™‰
jkcorden,JKCorden,,celebrity,jkcorden,
michael clifford,Michael5SOS,5sosf.am,celebrity,michael,clifford
ellie goulding,elliegoulding,elliegoulding.com,celebrity,ellie,goulding
cameron dallas,camerondallas,m.youtube.com,celebrity,cameron,dallas
joaquí_n lí_pez-dí_riga,lopezdoriga,lopezdoriga.com,celebrity,joaquí_n,lí_pez-dí_riga
dr bassem youssef,DrBassemYoussef,,celebrity,dr,bassem
kiran bedi,thekiranbedi,kiranbedi.com,celebrity,kiran,bedi
raisa andriana,raisa6690,,celebrity,raisa,andriana
lily,lilyallen,lilyallenmusic.com,celebrity,lily,
anupam kher,AnupamPkher,actorprepares.net,celebrity,anupam,kher
michelle obama,MichelleObama,barackobama.com,celebrity,michelle,obama
mary j. blige,maryjblige,maryjblige.com,celebrity,mary,j.
serginho groisman,oserginho,altashoras.globo.com,celebrity,serginho,groisman
demi moore,justdemi,,celebrity,demi,moore
kath,bernardokath,,celebrity,kath,
samuel l. jackson,SamuelLJackson,samuelljackson.com,celebrity,samuel,l.
nicole scherzinger,NicoleScherzy,nicolescherzinger.com,celebrity,nicole,scherzinger
the black eyed peas,bep,blackeyedpeas.com,celebrity,the,black
ahlam - ø_ø_™‹ø_™ƒ,Ahlam_Alshamsi,ahlam-alshamsi.com,celebrity,ahlam,-
okan bayulgen,okanbayulgen,,celebrity,okan,bayulgen
indonesiainlove,INDONESIAinLOVE,indonesiainlove.id,celebrity,indonesiainlove,
amr khaled,amrkhaled,AmrKhaled.net,celebrity,amr,khaled
meek mill,MeekMill,smarturl.it,celebrity,meek,mill
antanddec,antanddec,officialantanddec.com,celebrity,antanddec,
iker casillas,CasillasWorld,ikercasillasworld.com,celebrity,iker,casillas
rita ora,RitaOra,smarturl.it,celebrity,rita,ora
luisana lopilato,lulopilato,,celebrity,luisana,lopilato
fiuk,Fiuk,,celebrity,fiuk,
nick cannon,NickCannon,nickcannon.com,celebrity,nick,cannon
äó¢bambang pamungkasäó¢,bepe20s,bambangpamungkas20.com,celebrity,äó¢bambang,pamungkasäó¢
sandy leah,SandyLeah,sandyoficial.com.br,celebrity,sandy,leah
miranda lambert,mirandalambert,mirandalambert.com,celebrity,miranda,lambert
angel rivera,Angelluisr,verawear.mobapp.at,celebrity,angel,rivera
nash grier,Nashgrier,itun.es,celebrity,nash,grier
bunga citra lestari,bclsinclair,bclofficial.com,celebrity,bunga,citra
ben stiller,RedHourBen,,celebrity,ben,stiller
demet akalin kurt,DemetAkalin,demetakalin.com.tr,celebrity,demet,akalin
yeng constantino,YengPLUGGEDin,youtu.be,celebrity,yeng,constantino
mindy kaling,mindykaling,bit.ly,celebrity,mindy,kaling
luke bryan,LukeBryanOnline,umgn.us,celebrity,luke,bryan
siwon choi,siwon407,N407.com,celebrity,siwon,choi
mac,MacMiller,macmillerswebsite.com,celebrity,mac,
david de gea,D_DeGea,degea1.com,celebrity,david,de
juan mata garcí_a,juanmata8,juanmata8.com,celebrity,juan,mata
tiger woods,TigerWoods,TigerWoods.com,celebrity,tiger,woods
mike tyson,MikeTyson,miketyson.com,celebrity,mike,tyson
lenny kravitz,LennyKravitz,lennykravitz.com,celebrity,lenny,kravitz
kevin jonas,kevinjonas,yoodapp.com,celebrity,kevin,jonas
jonah hill,JonahHill,,celebrity,jonah,hill
dwade,DwyaneWade,dwyanewade.com,celebrity,dwade,
nicole richie,nicolerichie,,celebrity,nicole,richie
linkin park,linkinpark,linkinpark.com,celebrity,linkin,park
hilary duff,HilaryDuff,smarturl.it,celebrity,hilary,duff
suresh raina,ImRaina,,celebrity,suresh,raina
ratan n. tata,RNTata2000,,celebrity,ratan,n.
_ìŠÎŠÎ_Öçë,ariyoshihiroiki,,celebrity,_ìŠÎŠÎ_Öçë,
g-dragon,IBGDRGN,,celebrity,g-dragon,
anna kendrick,AnnaKendrick47,,celebrity,anna,kendrick
alan carr,AlanCarr,alancarr.net,celebrity,alan,carr
angelica panganiban,sectorkekz,,celebrity,angelica,panganiban
jonathan ross,wossy,catchacatchaaliens.com,celebrity,jonathan,ross
lucy hale,lucyhale,lucyhale.com,celebrity,lucy,hale
bridgit mendler,bridgitmendler,,celebrity,bridgit,mendler
super junior ÒÇÔ»Õ´Ç,donghae861015,cyworld.com,celebrity,super,junior
john cleese,JohnCleese,johncleese.com,celebrity,john,cleese
soulja boy tell 'em,souljaboy,itunes.apple.com,celebrity,soulja,boy
prince royce,PrinceRoyce,smarturl.it,celebrity,prince,royce
tiago leifert,TiagoLeifert,,celebrity,tiago,leifert
carrie underwood,carrieunderwood,carrieunderwoodofficial.com,celebrity,carrie,underwood
jesse & joy oficial,jesseyjoy,jesseyjoy.com,celebrity,jesse,&
yoko ono,yokoono,IMAGINEPEACE.com,celebrity,yoko,ono
ollaufar,olla_ramlan,,celebrity,ollaufar,
novak djokovic,DjokerNole,mobile.novakdjokovic.com,celebrity,novak,djokovic
gaby espino,gabyespino,gabyespino.com,celebrity,gaby,espino
laudya cynthia bella,Bellaudyaa,,celebrity,laudya,cynthia
tyler oakley / today,tyleroakley,youtu.be,celebrity,tyler,oakley
john green,johngreen,johngreenbooks.com,celebrity,john,green
bill simmons,BillSimmons,grantland.com,celebrity,bill,simmons
diego forlan,DiegoForlan7,diegoforlan.com,celebrity,diego,forlan
instagram  @llcoolj,llcoolj,m.kohls.com,celebrity,instagram,
facundo,facufacundo,facundo.tv,celebrity,facundo,
lea michele,msleamichele,,celebrity,lea,michele
bianca gonzalez,iamsuperbianca,iamsuperbianca.com,celebrity,bianca,gonzalez
mahendra singh dhoni,msdhoni,,celebrity,mahendra,singh
piers morgan,piersmorgan,,celebrity,piers,morgan
skrillex,Skrillex,,celebrity,skrillex,
virender sehwag,virendersehwag,sehwagworld.com,celebrity,virender,sehwag
jorge & mateus,jorgeemateus,jorgeemateus.com.br,celebrity,jorge,&
aluna sagita gutawa,gitagut,gitagut.blog.com,celebrity,aluna,sagita
lord sugar,Lord_Sugar,,celebrity,lord,sugar
cyprien,MonsieurDream,cyprien.fr,celebrity,cyprien,
chris paul,CP3,chrispaul3.com,celebrity,chris,paul
jamie foxx,iamjamiefoxx,jamiefoxxmusic.com,celebrity,jamie,foxx
irfan bachdim,IrfanBachdim10,jenniferbachdim.com,celebrity,irfan,bachdim
kc concepcion,kc_concepcion,,celebrity,kc,concepcion
daniel padilla,imdanielpadilla,,celebrity,daniel,padilla
gad elmaleh,gadelmaleh,gadelmaleh.com,celebrity,gad,elmaleh
marcelo vieira,MarceloM12,,celebrity,marcelo,vieira
michel telí_,micheltelo,micheltelo.com,celebrity,michel,telí_
ø_™‹øÇ™_ø¬ øµø_™‹ø_ ø_™‹™ƒø_ø_™ƒø_™_,SalehAlmoghamsy,youtube.com,celebrity,ø_™‹øÇ™_ø¬,øµø_™‹ø_
luis manzano,luckymanzano,,celebrity,luis,manzano
hayley from paramore,yelyahwilliams,smarturl.it,celebrity,hayley,from
don omar aka kong,DONOMAR,donomar.com,celebrity,don,omar
steve carell,SteveCarell,,celebrity,steve,carell
neil degrasse tyson,neiltyson,haydenplanetarium.org,celebrity,neil,degrasse
wisin y yandel,wisinyyandel,wisinyandelpr.com,celebrity,wisin,y
noel schajris,NoelSchajris,,celebrity,noel,schajris
rev run,RevRunWisdom,globalgrind.com,celebrity,rev,run
sandra dewi,SandraDewi88,sandradewi.blogseleb.com,celebrity,sandra,dewi
amr diab,amrdiab,amrdiab.net,celebrity,amr,diab
shawn mendes,ShawnMendes,,celebrity,shawn,mendes
aleks syntek,syntekoficial,syntekoficial.com,celebrity,aleks,syntek
ø_ø_ø¿™‹ ø_™‹™_ øÂ™Ê ø_™‹™_,AdelAliBinAli,,celebrity,ø_ø_ø¿™‹,ø_™‹™_
felipe neto,felipeneto,youtube.com,celebrity,felipe,neto
polo polo,polo_polo,polopolo.mx,celebrity,polo,polo
gloriatrevi,GloriaTrevi,mundotrevi.com,celebrity,gloriatrevi,
vijay mallya ,TheVijayMallya,,celebrity,vijay,mallya
ashton irwin,Ashton5SOS,hiorheyrecords.com,celebrity,ashton,irwin
young olu the genius,Wale,everybluemoon.com,celebrity,young,olu
chino y nacho,ChinoyNacho,chinoynacho.com.ve,celebrity,chino,y
riteish deshmukh ,Riteishd,,celebrity,riteish,deshmukh
lamar odom,RealLamarOdom,,celebrity,lamar,odom
preta gil,PretaGil,pretagil.com.br,celebrity,preta,gil
tom cavalcante,TomCavalcante1,tomcavalcante.com.br,celebrity,tom,cavalcante
